latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-8.175,20.153,303.7,1.6,1.2,2021-07-06,0025,A,57,6.0NRT,284.6,15.7,N
-8.186,20.152,332.9,1.6,1.2,2021-07-06,0025,A,100,6.0NRT,286,69.2,N
-8.023,17.298,331.9,1.1,1,2021-07-06,0025,A,100,6.0NRT,286.2,36.6,N
-8.026,17.317,301.3,1.1,1,2021-07-06,0025,A,40,6.0NRT,284.2,6.9,N
-8.035,17.316,314.3,1.1,1,2021-07-06,0025,A,89,6.0NRT,284.8,16.2,N
-8.534,17.278,313.4,1.1,1,2021-07-06,0025,A,87,6.0NRT,288,16.3,N
-8.536,17.287,310.5,1.1,1,2021-07-06,0025,A,80,6.0NRT,286.8,14.2,N
-10.666,20.14,304.5,1.7,1.3,2021-07-06,0025,A,60,6.0NRT,282.6,21.2,N
-14.812,16.497,307.1,1.1,1.1,2021-07-06,0025,A,70,6.0NRT,281.3,13.3,N
-14.818,16.502,300.9,1.1,1.1,2021-07-06,0025,A,35,6.0NRT,280.6,9.7,N
-17.506,22.287,309.6,3.2,1.7,2021-07-06,0030,A,78,6.0NRT,278.4,71,N
-17.505,22.283,309.6,3.2,1.7,2021-07-06,0030,A,78,6.0NRT,278.4,70.7,N
13.469,13.771,304.8,2.2,1.4,2021-07-06,0020,A,62,6.0NRT,293.9,14.7,N
12.895,14.117,305.4,2,1.4,2021-07-06,0020,A,64,6.0NRT,295.1,12.4,N
12.893,14.135,314.9,2,1.4,2021-07-06,0020,A,90,6.0NRT,295.6,31.3,N
12.89,14.129,322.2,2,1.4,2021-07-06,0020,A,100,6.0NRT,295.6,50.7,N
12.827,13.912,317.2,2.1,1.4,2021-07-06,0020,A,95,6.0NRT,295.6,35.9,N
12.825,13.931,330.4,2.1,1.4,2021-07-06,0020,A,100,6.0NRT,295.9,78.4,N
12.825,13.924,334.1,2.1,1.4,2021-07-06,0020,A,100,6.0NRT,295.9,93.9,N
12.678,13.958,309.7,2.1,1.4,2021-07-06,0020,A,78,6.0NRT,295,19.8,N
66.851,159.633,326.3,1,1,2021-07-06,0115,T,81,6.0NRT,299,19.6,D
66.847,159.603,325.9,1,1,2021-07-06,0115,T,80,6.0NRT,299.3,19.3,D
66.843,159.624,314.7,1,1,2021-07-06,0115,T,42,6.0NRT,298.1,8,D
66.86,159.232,313.2,1,1,2021-07-06,0115,T,51,6.0NRT,297.6,7.4,D
66.851,159.223,312.4,1,1,2021-07-06,0115,T,59,6.0NRT,297.5,7,D
65.77,157.302,313.8,1,1,2021-07-06,0115,T,23,6.0NRT,302.2,6.7,D
65.768,157.253,326.3,1,1,2021-07-06,0115,T,80,6.0NRT,304.3,16.2,D
65.764,157.274,393.8,1,1,2021-07-06,0115,T,100,6.0NRT,316.6,210.9,D
65.761,157.294,365.9,1,1,2021-07-06,0115,T,100,6.0NRT,309.1,94.9,D
65.758,157.315,348.8,1,1,2021-07-06,0115,T,95,6.0NRT,305,51.3,D
65.755,157.336,391.4,1,1,2021-07-06,0115,T,100,6.0NRT,313.1,198.1,D
65.751,157.356,357.5,1,1,2021-07-06,0115,T,98,6.0NRT,305.6,71.1,D
65.756,157.266,354.4,1,1,2021-07-06,0115,T,97,6.0NRT,310.2,63.8,D
65.753,157.287,336.6,1,1,2021-07-06,0115,T,88,6.0NRT,307.3,28.4,D
65.749,157.307,363.5,1,1,2021-07-06,0115,T,100,6.0NRT,309.3,86.4,D
65.746,157.328,369.3,1,1,2021-07-06,0115,T,100,6.0NRT,312.5,104.6,D
65.743,157.348,362.6,1,1,2021-07-06,0115,T,100,6.0NRT,311.2,83.9,D
65.739,157.369,336.3,1,1,2021-07-06,0115,T,87,6.0NRT,307.3,28.6,D
65.736,157.39,320.9,1,1,2021-07-06,0115,T,62,6.0NRT,304.2,10.7,D
65.747,157.258,339.3,1,1,2021-07-06,0115,T,89,6.0NRT,305.8,33.2,D
65.744,157.279,325.7,1,1,2021-07-06,0115,T,59,6.0NRT,304.4,13.8,D
65.729,157.257,318.5,1,1,2021-07-06,0115,T,66,6.0NRT,303.6,10.2,D
65.72,157.249,326.5,1,1,2021-07-06,0115,T,80,6.0NRT,302.9,17.5,D
65.694,157.414,320.4,1,1,2021-07-06,0115,T,73,6.0NRT,300.8,11.8,D
65.685,157.406,326,1,1,2021-07-06,0115,T,79,6.0NRT,303.4,16.7,D
64.946,155.968,366.9,1,1,2021-07-06,0115,T,100,6.0NRT,300.6,100.8,D
64.943,155.988,337.2,1,1,2021-07-06,0115,T,88,6.0NRT,299.8,32.5,D
64.938,155.961,353.9,1,1,2021-07-06,0115,T,97,6.0NRT,300.7,65.6,D
64.935,155.981,341.2,1,1,2021-07-06,0115,T,91,6.0NRT,300.3,39.2,D
64.929,155.954,341.4,1,1,2021-07-06,0115,T,91,6.0NRT,298.3,40.8,D
64.926,155.974,318.6,1,1,2021-07-06,0115,T,63,6.0NRT,299.9,10.9,D
61.86,166.715,310.6,2,1.4,2021-07-06,0115,T,30,6.0NRT,278.8,24.9,D
61.859,166.708,311.4,2,1.4,2021-07-06,0115,T,18,6.0NRT,278.9,25.5,D
62.007,165.17,332.7,1.8,1.3,2021-07-06,0115,T,86,6.0NRT,290.5,68.4,D
62.005,165.125,336.4,1.8,1.3,2021-07-06,0115,T,90,6.0NRT,289.8,80.3,D
61.997,165.157,324.7,1.8,1.3,2021-07-06,0115,T,70,6.0NRT,291.4,44.6,D
64.01,148.464,317.5,1.2,1.1,2021-07-06,0115,T,70,6.0NRT,300.2,12.4,D
64.524,138.512,311.8,2.5,1.5,2021-07-06,0115,T,49,6.0NRT,291.9,25.3,D
62.706,155.844,317.7,1,1,2021-07-06,0115,T,61,6.0NRT,298.9,9.6,D
62.703,155.863,335.2,1,1,2021-07-06,0115,T,87,6.0NRT,300.4,30.3,D
62.7,155.883,328.2,1,1,2021-07-06,0115,T,75,6.0NRT,299,20.1,D
62.695,155.857,320,1,1,2021-07-06,0115,T,50,6.0NRT,300.3,10.8,D
62.682,155.933,315.5,1,1,2021-07-06,0115,T,18,6.0NRT,300.1,7.1,D
62.679,155.952,333.9,1,1,2021-07-06,0115,T,87,6.0NRT,299.3,28.8,D
